,Unnamed: 0,ID,Cli_FB_eng,Cli_TW_eng,Cli_articlecount,Top_FB_eng,Top_TW_eng,Top_articlecount,date_time,Pro_FB_eng,Pro_TW_eng,Mean_Cli_TW_eng,Mean_Cli_FB_eng
0,0,1,60138338,6368000,123252,880050441.0,53667840.0,160521.0,2017-01-01,0.06833510353300305,0.11865579087960312,51.66650439749456,487.92991594456885
1,1,2,50426500,5534410,114133,1011698906.0,51219270.0,143905.0,2017-02-01,0.04984338690191289,0.10805327760430791,48.49088344300071,441.8222599949182
2,2,3,46515491,5080450,96190,744876733.0,38951660.0,128675.0,2017-03-01,0.06244723313165965,0.13042961455301263,52.81682087535087,483.57928059049794
3,3,4,41946706,4564100,112304,800725732.0,39262933.0,153172.0,2017-04-01,0.05238585988142067,0.11624449961494217,40.6405827040889,373.510346915515
4,4,5,41340193,4802650,114600,804573210.0,44656848.0,159119.0,2017-05-01,0.051381518159174105,0.10754565570772034,41.90794066317626,360.73466841186735
5,5,6,69199108,6662590,125999,873058325.0,41837020.0,152619.0,2017-06-01,0.07926057861025493,0.15925106520493093,52.87811808030222,549.203628600227
6,6,7,46251337,4624080,120236,911358101.0,41974670.0,158362.0,2017-07-01,0.05074990494872443,0.11016358198885184,38.458365215077016,384.6712881333378
7,7,8,35237705,4375940,121769,914441226.0,47613120.0,157806.0,2017-08-01,0.03853468544297674,0.09190618048134631,35.93640417511846,289.38157494928925
8,8,9,40753736,4794130,130297,839090557.0,43081870.0,153502.0,2017-09-01,0.04856893652302179,0.11127952431034215,36.79386325088068,312.7757047361029
9,9,10,28072113,3326635,131712,822601123.0,46687965.0,158642.0,2017-10-01,0.034126032915712416,0.07125251657466758,25.256886236637513,213.13253917638485
10,10,11,27576576,1342425,126403,698223165.0,22146550.0,153212.0,2017-11-01,0.03949536105694803,0.06061553605414839,10.620198887684628,218.16393598253205
11,11,12,31598965,825646,123226,618422073.0,8347616.0,158202.0,2017-12-01,0.05109611441698977,0.0989079996013233,6.7002580624218915,256.4309885900703
12,12,13,34876825,1499552,131804,661917369.0,15175034.0,160312.0,2018-01-01,0.05269060253350143,0.09881704383660689,11.3771357470183,264.6112788686231
13,13,14,23709554,1798308,111694,676017144.0,27538905.0,144114.0,2018-02-01,0.03507241526407206,0.06530063559172015,16.100309774920767,212.27240496356117
14,14,15,28416202,1996749,118216,708870890.0,28755206.0,160426.0,2018-03-01,0.04008656921996049,0.06943956513474464,16.890683156256344,240.3752622318468
15,15,16,24513895,2371952,124547,625233065.0,26085590.0,156775.0,2018-04-01,0.039207611324906494,0.09092958986168226,19.044633752719857,196.82445181337167
16,16,17,20486345,1727723,125699,587101926.0,26817745.0,160318.0,2018-05-01,0.03489401770417629,0.06442461884845277,13.744922393972903,162.97937931089348
17,17,18,23684773,2028075,126793,662996000.0,28244675.0,158035.0,2018-06-01,0.03572385504588263,0.07180380018534467,15.995165348244777,186.79874283280623
18,18,19,27019120,2356797,124671,715367050.0,27600785.0,161700.0,2018-07-01,0.03776958975116341,0.08538876702238722,18.904131674567463,216.72337592543576
